row_id,stage,object,symbol,value,uncertainty,formula_or_constraint,inputs,dewey_relational_role,status,evidence_class,truth_boundary,next_validation,linked_source_ids
REL-0014,Cross-skin relativity,Common state translated to ATLAS C21,C21*,-0.476181648882,±0.328165851632,C21=-3 C_parallel sqrt[fL(1-fL)/2],,Violet re-expression / frame-preserving skin translation,RESOLVED_PHYSICAL,DERIVED_CROSS_SKIN_COORDINATE,,,
REL-0015,Cross-skin relativity,Common state translated to ATLAS C22,C22*,0.672883229686,±0.095116198890,C22=3(1-fL)/2,,Violet re-expression / frame-preserving skin translation,RESOLVED_PHYSICAL,DERIVED_CROSS_SKIN_COORDINATE,,,
REL-0016,Cross-skin relativity,Translated ATLAS-coordinate correlation,"corr(C21*,C22*)",0.037204970880,,,,Relational covariance after re-expression,RESOLVED,DERIVED_COVARIANCE,,,
REL-0017,Cross-skin relativity,Joint contradiction load,χ²*,2.499909291182,2 effective residual dof,minimum joint quadratic residual,,q_dist / contradiction ledger,LOW_CONFLICT_COMPATIBLE,DERIVED_APPROXIMATION,"This is the contradiction of the approximate common-state fit, not the ATLAS entanglement q-tilde.",,R000051
REL-0018,Cross-skin relativity,Approximate compatibility probability,p_compat,0.286517791411,,P(χ²_2 ≥ χ²*) = exp(-χ²*/2),,PROVE compatibility diagnostic,COMPATIBLE,DERIVED_APPROXIMATION,Approximate Gaussian cross-experiment diagnostic only.,,
REL-0020,Physicality,Common-state physicality residual,R_phys,-0.886357044741,,C21^2 + 2 C22^2 - 3 C22 <= 0,,High Father / Γ Admission hard gate,PASS,MATHEMATICAL_GATE,,,
REL-0021,Physicality,Common-state purity,Tr(rho^2),0.606063535671,,,,Invariant state diagnostic,COMPUTED,DERIVED_MODEL_INVARIANT,,,
REL-0022,Physicality,Common-state negativity,N(rho),0.541748842484,,(||rho^{T_B}||_1 - 1)/2,,Established quantum entanglement invariant used inside the Dewey proof layer,POSITIVE,DERIVED_MODEL_INVARIANT,Value is for the reconstructed restricted common state; it is not an official experiment-combined measurement.,,
REL-0030,Dewey calculus closure,Structured CΩ retained,CΩ_dist,"{reported means, η_shape, constrained common rho, covariance, provenance}",,,,"Continuity is the preserved dependency/information object, not prematurely a scalar",CLOSED_AS_STRUCTURED_OBJECT,CANONICAL_DEWEY_RELATIVITY_CLOSURE,No arbitrary scalar CΩ is introduced where the source calculus does not uniquely define the empirical normalization.,,
REL-0031,Dewey calculus closure,Contradiction variable,q_dist,2.499909291182,,joint cross-skin residual contradiction retained as χ²*,,"q = |claim-evidence| + boundary_violation, operationalized here as residual contradiction with physical boundary violation=0 at the optimum",OPERATIONALIZED,EMPIRICAL_BRIDGE_MAPPING,This operational bridge is versioned; it does not redefine every historical q in the canon.,,
REL-0032,Dewey calculus closure,Burden variable,Λ_dist,full joint covariance + approximation ledger,,Λ carries uncertainty/covariance/modeling burden rather than being collapsed to one guessed number,,Λ = cost + latency + friction + unresolved_scar → empirical burden object,OPERATIONALIZED_STRUCTURED,EMPIRICAL_BRIDGE_MAPPING,,,
REL-0033,Dewey calculus closure,Scar/history carry,Σ_history,ATLAS full-shape information + mZ2 stratification + CMS polarization fit + calibration/assumption provenance,,,,Scar is retained irreversible analysis history constraining the next state,CARRIED,EMPIRICAL_BRIDGE_MAPPING,,,
REL-0034,Dewey calculus closure,ADV-02 reclassification,,DEWEY_RELATIVITY_CLOSURE_RESOLVED; NATIVE_ATLAS_REPLICATION_REMAINS_EXTERNAL_VALIDATION,,,,Truth/Proof boundary correction,PROMOTED,ADVANCEMENT_STATUS,We have enough to solve the relational/information state. We still do not claim unpublished ATLAS bins or its exact internal workspace.,"If native workspace becomes public, compare it against η_shape and the reconstructed common state as an external validation rather than a prerequisite.",
