row_id,advance_step,category,quantity,symbol,value,uncertainty_or_interval,units,formula_or_rule,inputs,assumptions,status,evidence_class,interpretation,source_name,source_url,source_locator,provenance_note
QBR-0032,ADV-04,Observed cross-representation,CMS fL/C_parallel observed correlation,rho,0.069000000000,,,,,,REPORTED,PRIMARY_REPORTED,,CMS PAS HIG-25-011,https://cms-results.web.cern.ch/cms-results/public-results/preliminary-results/HIG-25-011/CMS-PAS-HIG-25-011_Table_003.pdf,Table 3 correlation obs./exp.,
QBR-0033,ADV-04,Observed cross-representation,CMS observed mapped to ATLAS C21,C21_CMSobs_to_ATLAS,-0.201162359799,approx ±0.481624819662,,QBR-0011 + first-order covariance propagation,,Symmetrized CMS 68% profile uncertainties treated as Gaussian for propagation.,COMPUTED_APPROX,DERIVED_APPROXIMATION,"Approximate common-basis coordinate, not a CMS-reported ATLAS coefficient.",,,,
QBR-0034,ADV-04,Observed cross-representation,CMS observed mapped to ATLAS C22,C22_CMSobs_to_ATLAS,0.705000000000,approx ±0.097500000000,,QBR-0010 + first-order covariance propagation,,Symmetrized CMS 68% profile uncertainties treated as Gaussian.,COMPUTED_APPROX,DERIVED_APPROXIMATION,,,,,
QBR-0035,ADV-04,Observed cross-representation,Mapped CMS C21/C22 correlation,rho_mapped,0.065745568619,,,,,First-order Gaussian propagation.,COMPUTED_APPROX,DERIVED_APPROXIMATION,,,,,
QBR-0036,ADV-04,Observed cross-representation,ATLAS-vs-transformed-CMS difference chi-square,chi2_2dof,2.497215951974,2 dof,,Δ^T (Cov_ATLAS + Cov_CMSmapped)^(-1) Δ,,Independent experiments; ATLAS coefficient errors diagonal; CMS profile intervals Gaussianized; common restricted basis valid.,COMPUTED_APPROX,DERIVED_APPROXIMATION,No significant inconsistency under these approximations.,,,,
QBR-0037,ADV-04,Observed cross-representation,ATLAS-vs-transformed-CMS compatibility p-value,p,0.286903896131,,,exp(-chi2/2) for chi-square with 2 dof,,Same approximations as QBR-0036.,COMPUTED_APPROX,DERIVED_APPROXIMATION,p≈0.287: observed central estimates are statistically compatible at this coarse common-basis level.,,,,
QBR-0040,ADV-04,Physicality insight,ATLAS observed central mapped fL,fL_from_ATLAS_obs,0.946666666667,,,QBR-0012,C22=0.08,,COMPUTED,DERIVED_DIAGNOSTIC,,,,,
QBR-0041,ADV-04,Physicality insight,ATLAS observed central mapped C_parallel,C_parallel_from_ATLAS_obs,1.489546910977,,,QBR-0013,C21=-0.71; C22=0.08,,OUTSIDE_RESTRICTED_PHYSICAL_BOUND,DERIVED_DIAGNOSTIC,Central coefficient means alone map to |C_parallel|>1. This is not a paradox; the separately measured noisy means are not a constrained full-state reconstruction.,,,,
QBR-0042,ADV-04,Physicality insight,ATLAS observed physicality residual,R_phys,0.276900000000,,,C21^2 + 2 C22^2 - 3 C22,,,FAILS_AT_CENTRAL_POINT,DERIVED_DIAGNOSTIC,Positive residual confirms that the central mean pair is outside the restricted physical matrix region; therefore physicality constraints/full likelihood must precede state claims.,,,,
QBR-0043,ADV-04,Physicality insight,ATLAS SM physicality residual,R_phys_SM,-0.159900000000,,,C21^2 + 2 C22^2 - 3 C22,,,PASS,DERIVED_CROSSCHECK,SM reference lies inside the restricted physical region.,,,,
QBR-0050,ADV-04,Restricted-state invariants,CMS SM purity,Tr(rho^2),0.918209980000,,,,,CMS restricted two-parameter density matrix central SM point.,COMPUTED,DERIVED_MODEL_INVARIANT,,,,,
QBR-0051,ADV-04,Restricted-state invariants,CMS SM negativity,N,0.822702142740,,,(||rho^{T_B}||_1 - 1)/2,,CMS restricted two-parameter density matrix central SM point.,COMPUTED,DERIVED_MODEL_INVARIANT,,,,,
QBR-0052,ADV-04,Restricted-state invariants,CMS observed central purity,Tr(rho^2),0.519785020000,,,,,CMS observed central values only; uncertainty not propagated.,COMPUTED,DERIVED_MODEL_INVARIANT,,,,,
QBR-0053,ADV-04,Restricted-state invariants,CMS observed central negativity,N,0.369108239866,,,(||rho^{T_B}||_1 - 1)/2,,CMS observed central values only; uncertainty not propagated.,COMPUTED,DERIVED_MODEL_INVARIANT,Positive central negativity is consistent with the CMS entangled-state conclusion under QM and CP-conservation assumptions.,,,,
QBR-0054,ADV-04,Restricted-state invariants,ATLAS SM mapped purity,Tr(rho^2),0.928933333333,,,,,ATLAS SM C coefficients mapped through the shared restricted model.,COMPUTED,DERIVED_MODEL_INVARIANT,,,,,
QBR-0055,ADV-04,Restricted-state invariants,ATLAS SM mapped negativity,N,0.860000000000,,,,,ATLAS SM C coefficients mapped through the shared restricted model.,COMPUTED,DERIVED_MODEL_INVARIANT,"Close to the CMS SM restricted-state negativity, another no-retuning representation check.",,,,
QBR-0060,ADV-04,Advancement status,ATLAS↔CMS restricted common-basis bridge,,ESTABLISHED_WITH_CAVEATS,,,,,Shared scalar/CP-even restricted three-state density-matrix structure; analysis-specific phase-space weighting and fit details remain distinct.,ADVANCED,CROSS_REPRESENTATION_RESULT,The SM reference maps closely in both directions without retuning. Observed results are compatible under a coarse Gaussianized cross-check. Full combined inference is not claimed.,,,,
QBR-0061,ADV-05,Ablation/negative-control start,Physicality gate catches mean-only overcompression,,PASS,,,ATLAS observed central means violate the restricted physicality boundary while the SM reference passes.,,,NEGATIVE_CONTROL_PASSED,ABLATION_CONTROL,This demonstrates that unconstrained coefficient means cannot substitute for a physical density-matrix fit; the new gate is functionally necessary.,,,,
