record_id,source_family,source_file,source_section,source_row_key,category,concept_name,property_name,canonical_value,computation_language,epistemic_status,units_or_frame,dependency_symbols,validation_rule,conflict_group,provenance_note
R000011,SOURCE_MANIFEST,Dewey_20736D_Relativity_Calculus_Tree_README.txt,MANIFEST,Dewey_20736D_Relativity_Calculus_Tree_README.txt,Provenance,Dewey_20736D_Relativity_Calculus_Tree_README.txt,sha256,d534ed42e365e35d63ebd1cccbec66f1f541b9272274cc4fbaf5d99f3aa0c02f,"VALUE[""sha256""] := ""d534ed42e365e35d63ebd1cccbec66f1f541b9272274cc4fbaf5d99f3aa0c02f""",source integrity,,,SHA-256 over materialized source bytes.,,size_bytes=1550
R000012,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_1_Index_0,00 System Kernel / Symbol Glossary,state,Index,0,CONST(Index=0); PRESERVE_EXACT_DECIMAL(),user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,state,Verbatim from July 6 organized all-modes calculus CSV.
R000013,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_1_Index_0,00 System Kernel / Symbol Glossary,state,Dimension_or_Scale,global,"FRAME_SPEC := PARSE_FRAME(""global""); ASSERT(NOT_PHYSICAL_DIMENSION_UNLESS_VALIDATED)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,state,Verbatim from July 6 organized all-modes calculus CSV.
R000014,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_1_Index_0,00 System Kernel / Symbol Glossary,state,Primary_Role,shared algebra/calculus primitive,"META[""Primary_Role""] := ""shared algebra/calculus primitive""",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,state,Verbatim from July 6 organized all-modes calculus CSV.
R000015,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_1_Index_0,00 System Kernel / Symbol Glossary,state,Algebraic_Definition,x_t ∈ ℝ^D,"DEFINE_EXPR := SYMBOLIC_EVAL(""x_t \u2208 \u211d^D"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,state,Verbatim from July 6 organized all-modes calculus CSV.
R000016,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_1_Index_0,00 System Kernel / Symbol Glossary,state,Calculus_or_Update_Law,used by all mode rows as common kernel,"DEFINE_EXPR := SYMBOLIC_EVAL(""used by all mode rows as common kernel"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,state,Verbatim from July 6 organized all-modes calculus CSV.
R000017,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_1_Index_0,00 System Kernel / Symbol Glossary,state,Core_Symbols,CΩ continuity; Φ future plasticity; q contradiction; Λ burden; ε stabilizer; Scar memory,"VALUE[""Core_Symbols""] := ""C\u03a9 continuity; \u03a6 future plasticity; q contradiction; \u039b burden; \u03b5 stabilizer; Scar memory""",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,state,Verbatim from July 6 organized all-modes calculus CSV.
R000018,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_1_Index_0,00 System Kernel / Symbol Glossary,state,Input_State,raw state/evidence/action,"INPUT_SCHEMA := PARSE_SYMBOL_LIST(""raw state/evidence/action"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,state,Verbatim from July 6 organized all-modes calculus CSV.
R000019,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_1_Index_0,00 System Kernel / Symbol Glossary,state,Output_State,normalized metric/control variable,"OUTPUT_SCHEMA := PARSE_SYMBOL_LIST(""normalized metric/control variable"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,state,Verbatim from July 6 organized all-modes calculus CSV.
R000020,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_1_Index_0,00 System Kernel / Symbol Glossary,state,Gate_or_Threshold,admissibility threshold depends on mode,"GATE_RULE := SYMBOLIC_EVAL(""admissibility threshold depends on mode"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,state,Verbatim from July 6 organized all-modes calculus CSV.
R000021,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_1_Index_0,00 System Kernel / Symbol Glossary,state,Ledger_Record,"symbol, formula, version, dependency list","LEDGER_RULE := PARSE_AUDIT_SPEC(""symbol, formula, version, dependency list"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,state,Verbatim from July 6 organized all-modes calculus CSV.
R000022,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_1_Index_0,00 System Kernel / Symbol Glossary,state,Workflow_Position,pre-mode normalization,"PIPELINE := PARSE_ORDERED_STEPS(""pre-mode normalization"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,state,Verbatim from July 6 organized all-modes calculus CSV.
R000023,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_1_Index_0,00 System Kernel / Symbol Glossary,state,Implementation_Notes,Defines the common symbolic grammar for the CSV.,"META[""Implementation_Notes""] := ""Defines the common symbolic grammar for the CSV.""",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,state,Verbatim from July 6 organized all-modes calculus CSV.
R000024,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_2_Index_0,00 System Kernel / Symbol Glossary,continuity,Index,0,CONST(Index=0); PRESERVE_EXACT_DECIMAL(),user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,continuity,Verbatim from July 6 organized all-modes calculus CSV.
R000025,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_2_Index_0,00 System Kernel / Symbol Glossary,continuity,Dimension_or_Scale,global,"FRAME_SPEC := PARSE_FRAME(""global""); ASSERT(NOT_PHYSICAL_DIMENSION_UNLESS_VALIDATED)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,continuity,Verbatim from July 6 organized all-modes calculus CSV.
R000026,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_2_Index_0,00 System Kernel / Symbol Glossary,continuity,Primary_Role,shared algebra/calculus primitive,"META[""Primary_Role""] := ""shared algebra/calculus primitive""",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,continuity,Verbatim from July 6 organized all-modes calculus CSV.
R000027,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_2_Index_0,00 System Kernel / Symbol Glossary,continuity,Algebraic_Definition,CΩ = 1/(1+Δ_state+Δ_time+Δ_behavior),"DEFINE_EXPR := SYMBOLIC_EVAL(""C\u03a9 = 1/(1+\u0394_state+\u0394_time+\u0394_behavior)"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,continuity,Verbatim from July 6 organized all-modes calculus CSV.
R000028,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_2_Index_0,00 System Kernel / Symbol Glossary,continuity,Calculus_or_Update_Law,used by all mode rows as common kernel,"DEFINE_EXPR := SYMBOLIC_EVAL(""used by all mode rows as common kernel"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,continuity,Verbatim from July 6 organized all-modes calculus CSV.
R000029,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_2_Index_0,00 System Kernel / Symbol Glossary,continuity,Core_Symbols,CΩ continuity; Φ future plasticity; q contradiction; Λ burden; ε stabilizer; Scar memory,"VALUE[""Core_Symbols""] := ""C\u03a9 continuity; \u03a6 future plasticity; q contradiction; \u039b burden; \u03b5 stabilizer; Scar memory""",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,continuity,Verbatim from July 6 organized all-modes calculus CSV.
R000030,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_2_Index_0,00 System Kernel / Symbol Glossary,continuity,Input_State,raw state/evidence/action,"INPUT_SCHEMA := PARSE_SYMBOL_LIST(""raw state/evidence/action"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,continuity,Verbatim from July 6 organized all-modes calculus CSV.
R000031,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_2_Index_0,00 System Kernel / Symbol Glossary,continuity,Output_State,normalized metric/control variable,"OUTPUT_SCHEMA := PARSE_SYMBOL_LIST(""normalized metric/control variable"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,continuity,Verbatim from July 6 organized all-modes calculus CSV.
R000032,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_2_Index_0,00 System Kernel / Symbol Glossary,continuity,Gate_or_Threshold,admissibility threshold depends on mode,"GATE_RULE := SYMBOLIC_EVAL(""admissibility threshold depends on mode"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,continuity,Verbatim from July 6 organized all-modes calculus CSV.
R000033,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_2_Index_0,00 System Kernel / Symbol Glossary,continuity,Ledger_Record,"symbol, formula, version, dependency list","LEDGER_RULE := PARSE_AUDIT_SPEC(""symbol, formula, version, dependency list"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,continuity,Verbatim from July 6 organized all-modes calculus CSV.
R000034,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_2_Index_0,00 System Kernel / Symbol Glossary,continuity,Workflow_Position,pre-mode normalization,"PIPELINE := PARSE_ORDERED_STEPS(""pre-mode normalization"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,continuity,Verbatim from July 6 organized all-modes calculus CSV.
R000035,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_2_Index_0,00 System Kernel / Symbol Glossary,continuity,Implementation_Notes,Defines the common symbolic grammar for the CSV.,"META[""Implementation_Notes""] := ""Defines the common symbolic grammar for the CSV.""",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,continuity,Verbatim from July 6 organized all-modes calculus CSV.
R000036,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_3_Index_0,00 System Kernel / Symbol Glossary,plasticity,Index,0,CONST(Index=0); PRESERVE_EXACT_DECIMAL(),user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,plasticity,Verbatim from July 6 organized all-modes calculus CSV.
R000037,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_3_Index_0,00 System Kernel / Symbol Glossary,plasticity,Dimension_or_Scale,global,"FRAME_SPEC := PARSE_FRAME(""global""); ASSERT(NOT_PHYSICAL_DIMENSION_UNLESS_VALIDATED)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,plasticity,Verbatim from July 6 organized all-modes calculus CSV.
R000038,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_3_Index_0,00 System Kernel / Symbol Glossary,plasticity,Primary_Role,shared algebra/calculus primitive,"META[""Primary_Role""] := ""shared algebra/calculus primitive""",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,plasticity,Verbatim from July 6 organized all-modes calculus CSV.
R000039,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_3_Index_0,00 System Kernel / Symbol Glossary,plasticity,Algebraic_Definition,Φ = ∂Future/∂Action,"DEFINE_EXPR := SYMBOLIC_EVAL(""\u03a6 = \u2202Future/\u2202Action"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,plasticity,Verbatim from July 6 organized all-modes calculus CSV.
R000040,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_3_Index_0,00 System Kernel / Symbol Glossary,plasticity,Calculus_or_Update_Law,used by all mode rows as common kernel,"DEFINE_EXPR := SYMBOLIC_EVAL(""used by all mode rows as common kernel"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,plasticity,Verbatim from July 6 organized all-modes calculus CSV.
R000041,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_3_Index_0,00 System Kernel / Symbol Glossary,plasticity,Core_Symbols,CΩ continuity; Φ future plasticity; q contradiction; Λ burden; ε stabilizer; Scar memory,"VALUE[""Core_Symbols""] := ""C\u03a9 continuity; \u03a6 future plasticity; q contradiction; \u039b burden; \u03b5 stabilizer; Scar memory""",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,plasticity,Verbatim from July 6 organized all-modes calculus CSV.
R000042,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_3_Index_0,00 System Kernel / Symbol Glossary,plasticity,Input_State,raw state/evidence/action,"INPUT_SCHEMA := PARSE_SYMBOL_LIST(""raw state/evidence/action"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,plasticity,Verbatim from July 6 organized all-modes calculus CSV.
R000043,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_3_Index_0,00 System Kernel / Symbol Glossary,plasticity,Output_State,normalized metric/control variable,"OUTPUT_SCHEMA := PARSE_SYMBOL_LIST(""normalized metric/control variable"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,plasticity,Verbatim from July 6 organized all-modes calculus CSV.
R000044,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_3_Index_0,00 System Kernel / Symbol Glossary,plasticity,Gate_or_Threshold,admissibility threshold depends on mode,"GATE_RULE := SYMBOLIC_EVAL(""admissibility threshold depends on mode"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,plasticity,Verbatim from July 6 organized all-modes calculus CSV.
R000045,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_3_Index_0,00 System Kernel / Symbol Glossary,plasticity,Ledger_Record,"symbol, formula, version, dependency list","LEDGER_RULE := PARSE_AUDIT_SPEC(""symbol, formula, version, dependency list"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,plasticity,Verbatim from July 6 organized all-modes calculus CSV.
R000046,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_3_Index_0,00 System Kernel / Symbol Glossary,plasticity,Workflow_Position,pre-mode normalization,"PIPELINE := PARSE_ORDERED_STEPS(""pre-mode normalization"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,plasticity,Verbatim from July 6 organized all-modes calculus CSV.
R000047,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_3_Index_0,00 System Kernel / Symbol Glossary,plasticity,Implementation_Notes,Defines the common symbolic grammar for the CSV.,"META[""Implementation_Notes""] := ""Defines the common symbolic grammar for the CSV.""",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,plasticity,Verbatim from July 6 organized all-modes calculus CSV.
R000048,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_4_Index_0,00 System Kernel / Symbol Glossary,contradiction,Index,0,CONST(Index=0); PRESERVE_EXACT_DECIMAL(),user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,contradiction,Verbatim from July 6 organized all-modes calculus CSV.
R000049,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_4_Index_0,00 System Kernel / Symbol Glossary,contradiction,Dimension_or_Scale,global,"FRAME_SPEC := PARSE_FRAME(""global""); ASSERT(NOT_PHYSICAL_DIMENSION_UNLESS_VALIDATED)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,contradiction,Verbatim from July 6 organized all-modes calculus CSV.
R000050,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_4_Index_0,00 System Kernel / Symbol Glossary,contradiction,Primary_Role,shared algebra/calculus primitive,"META[""Primary_Role""] := ""shared algebra/calculus primitive""",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,contradiction,Verbatim from July 6 organized all-modes calculus CSV.
R000051,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_4_Index_0,00 System Kernel / Symbol Glossary,contradiction,Algebraic_Definition,q = |claim - evidence| + boundary_violation,"DEFINE_EXPR := SYMBOLIC_EVAL(""q = |claim - evidence| + boundary_violation"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,contradiction,Verbatim from July 6 organized all-modes calculus CSV.
R000052,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_4_Index_0,00 System Kernel / Symbol Glossary,contradiction,Calculus_or_Update_Law,used by all mode rows as common kernel,"DEFINE_EXPR := SYMBOLIC_EVAL(""used by all mode rows as common kernel"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,contradiction,Verbatim from July 6 organized all-modes calculus CSV.
R000053,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_4_Index_0,00 System Kernel / Symbol Glossary,contradiction,Core_Symbols,CΩ continuity; Φ future plasticity; q contradiction; Λ burden; ε stabilizer; Scar memory,"VALUE[""Core_Symbols""] := ""C\u03a9 continuity; \u03a6 future plasticity; q contradiction; \u039b burden; \u03b5 stabilizer; Scar memory""",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,contradiction,Verbatim from July 6 organized all-modes calculus CSV.
R000054,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_4_Index_0,00 System Kernel / Symbol Glossary,contradiction,Input_State,raw state/evidence/action,"INPUT_SCHEMA := PARSE_SYMBOL_LIST(""raw state/evidence/action"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,contradiction,Verbatim from July 6 organized all-modes calculus CSV.
R000055,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_4_Index_0,00 System Kernel / Symbol Glossary,contradiction,Output_State,normalized metric/control variable,"OUTPUT_SCHEMA := PARSE_SYMBOL_LIST(""normalized metric/control variable"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,contradiction,Verbatim from July 6 organized all-modes calculus CSV.
R000056,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_4_Index_0,00 System Kernel / Symbol Glossary,contradiction,Gate_or_Threshold,admissibility threshold depends on mode,"GATE_RULE := SYMBOLIC_EVAL(""admissibility threshold depends on mode"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,contradiction,Verbatim from July 6 organized all-modes calculus CSV.
R000057,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_4_Index_0,00 System Kernel / Symbol Glossary,contradiction,Ledger_Record,"symbol, formula, version, dependency list","LEDGER_RULE := PARSE_AUDIT_SPEC(""symbol, formula, version, dependency list"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,contradiction,Verbatim from July 6 organized all-modes calculus CSV.
R000058,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_4_Index_0,00 System Kernel / Symbol Glossary,contradiction,Workflow_Position,pre-mode normalization,"PIPELINE := PARSE_ORDERED_STEPS(""pre-mode normalization"")",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,contradiction,Verbatim from July 6 organized all-modes calculus CSV.
R000059,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_4_Index_0,00 System Kernel / Symbol Glossary,contradiction,Implementation_Notes,Defines the common symbolic grammar for the CSV.,"META[""Implementation_Notes""] := ""Defines the common symbolic grammar for the CSV.""",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,contradiction,Verbatim from July 6 organized all-modes calculus CSV.
R000060,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_5_Index_0,00 System Kernel / Symbol Glossary,burden,Index,0,CONST(Index=0); PRESERVE_EXACT_DECIMAL(),user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,burden,Verbatim from July 6 organized all-modes calculus CSV.
R000061,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_5_Index_0,00 System Kernel / Symbol Glossary,burden,Dimension_or_Scale,global,"FRAME_SPEC := PARSE_FRAME(""global""); ASSERT(NOT_PHYSICAL_DIMENSION_UNLESS_VALIDATED)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,burden,Verbatim from July 6 organized all-modes calculus CSV.
R000062,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_5_Index_0,00 System Kernel / Symbol Glossary,burden,Primary_Role,shared algebra/calculus primitive,"META[""Primary_Role""] := ""shared algebra/calculus primitive""",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,burden,Verbatim from July 6 organized all-modes calculus CSV.
R000063,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_5_Index_0,00 System Kernel / Symbol Glossary,burden,Algebraic_Definition,Λ = cost + latency + friction + unresolved_scar,"DEFINE_EXPR := SYMBOLIC_EVAL(""\u039b = cost + latency + friction + unresolved_scar"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,burden,Verbatim from July 6 organized all-modes calculus CSV.
R000064,JULY_ALL_MODES,all_modes_algebra_calculus_fully_organized.csv,ALL_MODES,row_5_Index_0,00 System Kernel / Symbol Glossary,burden,Calculus_or_Update_Law,used by all mode rows as common kernel,"DEFINE_EXPR := SYMBOLIC_EVAL(""used by all mode rows as common kernel"", preserve_tokens=true)",user-defined canon / symbolic operational model,global,,Preserve source text exactly; external scientific status only where independently established.,burden,Verbatim from July 6 organized all-modes calculus CSV.
