row_id,stage,mode_or_operator,test,quantity,value,uncertainty_or_range,formula_or_criterion,baseline_or_ablation,result,evidence_class,truth_boundary,promotion_effect,next_gate
V4-0016,ADV-05,Heavy Prune / Ablation,Ablation REMOVE_CMS_fL,state / contradiction / local information volume,fL=0.825781368;Cpar=0.465765321;C21=-0.374760013;C22=0.261327948;χ²=1.092155742;area_proxy=0.09514233989180607,σfL=0.269563080;σCpar=0.370668665;corr=0.305479626,Area proxy = sqrt(det(local covariance)); smaller = tighter 2D local state uncertainty.,JOINT_FULL,ABLATION_COMPUTED,ABLATION_RESULT,Local Gaussian approximation around the fitted state.,Joint reduces area proxy by 79.284% versus this ablation.,"Retain components whose removal materially increases uncertainty, contradiction, or physical-state ambiguity."
V4-0017,ADV-05,Heavy Prune / Ablation,Ablation REMOVE_CMS_CPAR,state / contradiction / local information volume,fL=0.549501795;Cpar=0.672699334;C21=-0.709999993;C22=0.675747307;χ²=1.923254454;area_proxy=0.027056994663419532,σfL=0.063460631;σCpar=0.426444188;corr=0.020018058,Area proxy = sqrt(det(local covariance)); smaller = tighter 2D local state uncertainty.,JOINT_FULL,ABLATION_COMPUTED,ABLATION_RESULT,Local Gaussian approximation around the fitted state.,Joint reduces area proxy by 27.154% versus this ablation.,"Retain components whose removal materially increases uncertainty, contradiction, or physical-state ambiguity."
V4-0020,ADV-05,High Father / Γ Admission,Physicality-gate ablation,ATLAS-only constrained-vs-unconstrained state,"unconstrained=(fL=0.946665284,Cpar=1.489527994); physical=(fL=0.891079949,Cpar=1.000000000); Δχ²=0.047828277",,Enforce 0<fL<1 and |Cpar|≤1,,GATE NECESSARY,NEGATIVE_CONTROL,The unconstrained point reproduces noisy ATLAS means but is outside the restricted physical state space.,Physicality remains a hard pre-interpretation gate.,
V4-0021,ADV-05,Heavy Prune,ATLAS C21 contribution,,removal increases area proxy by 46.148%,,,,INFORMATIVE,ABLATION_SUMMARY,,Retain ATLAS C21 in the common-state bridge.,
V4-0022,ADV-05,Heavy Prune,ATLAS C22 contribution,,removal increases area proxy by 2.229%,,,,LOWER_INCREMENTAL_INFORMATION,ABLATION_SUMMARY,Low incremental area change does not mean C22 is dispensable physically; it is partly redundant with precise CMS fL in this approximate joint fit.,,
V4-0023,ADV-05,Heavy Prune,CMS fL contribution,,removal increases area proxy by 382.710%,,,,DOMINANT_PRECISION_ANCHOR,ABLATION_SUMMARY,,Retain CMS fL as a major common-state precision anchor.,
V4-0024,ADV-05,Heavy Prune,CMS C_parallel contribution,,removal increases area proxy by 37.275%,,,,INFORMATIVE,ABLATION_SUMMARY,,,
V4-0030,ADV-05,Reality Admission / Proof Ledger,SM fixed-point comparison,Δχ² relative to best common state,CMS_SM Δχ²=2.850153633; ATLAS_SM-mapped Δχ²=2.369639320,,χ²(fixed SM point)-χ²(best reconstructed point),,SM COMPATIBLE,RETROSPECTIVE_BASELINE_CHECK,Not a new Standard Model test or official combined likelihood.,Keep SM as the primary physical comparator baseline.,
V4-0040,ADV-06,Forecast,Frozen future-state center,"x_forecast=(fL,C_parallel)","(0.551411180209,0.451340588867)","physical-truncated MC 95%: fL=[0.427006153,0.675118533], Cpar=[-0.165071802,0.927786963]",,,FROZEN,PROSPECTIVE_FORECAST_CONTRACT,"Forecast is for the underlying restricted common state, not for a guaranteed future measured central value.",Forecast Mode upgraded from retrospective description to a timestamped prospective test.,
V4-0041,ADV-06,Forecast,Frozen ATLAS-coordinate projection,"(C21,C22)","(-0.476181648882,0.672883229686)","physical-truncated MC 95%: C21=[-0.969909731,0.173402373], C22=[0.487322201,0.859490771]",,,FROZEN,PROSPECTIVE_FORECAST_CONTRACT,,,
V4-0042,ADV-06,Forecast,Frozen entanglement-invariant projection,negativity N,median≈0.528866981067,"physical-truncated MC 95%=[0.238152370091,0.876067421549]; P(N>0)≈1.000000000000",,,FROZEN_APPROXIMATE,PROSPECTIVE_MODEL_INVARIANT,Derived under the restricted common-state model and Gaussian uncertainty approximation; not an official experimental combined interval.,,
V4-0043,ADV-06,Forecast Gates,Future compatibility criterion,D²_future,PASS if D²≤5.991464547108,,D²=(x_new-x*)^T(Σ_new+Σ*)^-1(x_new-x*),,FROZEN,PROSPECTIVE_PASS_FAIL_RULE,Future result must first be transformed into the same restricted basis with its own covariance and assumptions preserved.,,Apply unchanged to the first suitable independent future H→ZZ* spin/entanglement measurement after this freeze.
V4-0044,ADV-06,No-Nothing Truth / Forecast Gates,No-retuning rule,,"No parameter, transform, covariance rule, interval, or pass threshold may be altered after the future target result is inspected.",,,,HARD LOCK,PROSPECTIVE_GOVERNANCE,,Any after-the-fact adjustment demotes the result from predictive to descriptive.,
V4-0050,ADV-07,Evolution,Promotion test after ablation,,"Physicality gate, cross-skin transform, covariance carry, C21, CMS fL, and CMS C_parallel remain retained; early scalar compression remains pruned.",,,,PARTIAL PROMOTION,PROOF_GOVERNANCE_RESULT,"Promotion is within the current restricted benchmark only, not universal physics.",,
V4-0051,ADV-07,Continuance,Canonical next parent,,v4 frozen state + forecast contract,,,,PROMOTED AS NEXT INTERNAL PARENT,CONTINUANCE_STATE,External empirical status remains conditional on future validation.,,Wait for / evaluate a genuinely future independent measurement without modifying v4.
